_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
0.131,19341042+1922141,293.543455,19.370588,10.664,10.017,9.576,0.023,0.023,0.02,AAA,0,Gaia DR3 1825407490781545216,0.1588020591295923
1.987,23472043+6313122,356.835142,63.220078,6.096,5.76,5.53,0.027,0.029,0.018,AAA,1,Gaia DR3 2016055591466867712,1.9819950406802287
0.098,19481826+3026526,297.07612,30.44796,11.083,10.72,10.404,0.023,0.024,0.021,AAA,2,Gaia DR3 2032145466709678464,0.12716432268100242
0.086,20213172+3655127,305.382187,36.920219,7.339,6.929,6.535,0.018,0.017,0.016,AAA,3,Gaia DR3 2057563358004716928,0.10287893139117009
0.123,20055731+3547181,301.488817,35.78838,6.319,6.315,6.247,0.02,0.018,0.021,AAA,4,Gaia DR3 2059076148587289728,0.1321083313890706
0.277,20101420+3610350,302.559206,36.176403,6.715,6.516,6.162,0.018,0.021,0.016,AAA,5,Gaia DR3 2059146654767199872,0.3039477421582542
0.211,20143177+3639396,303.632409,36.661018,6.98,6.767,6.185,0.027,0.017,0.016,AAA,6,Gaia DR3 2060508777869902592,0.24050008419271005
0.214,20120654+3821178,303.027279,38.354954,6.127,5.899,5.561,0.021,0.016,0.016,AAA,7,Gaia DR3 2061690233159124352,0.24352166892410745
0.232,20202798+4351164,305.116618,43.854561,5.547,5.429,5.037,0.018,0.023,0.016,AAA,8,Gaia DR3 2081261372633822592,0.2608933604177185
0.062,18075089-3510251,271.962079,-35.173656,13.786,13.519,13.272,0.022,0.023,0.03,AAA,9,Gaia DR3 4038875335491155328,0.07628897054436828
0.053,17353641-3355577,263.90173,-33.932701,9.303,8.914,8.645,0.025,0.028,0.026,AAA,10,Gaia DR3 4053636485258105472,0.04076250680166048
0.249,17361991-3326124,264.082968,-33.436787,8.289,6.672,5.268,0.02,0.029,0.018,AAA,11,Gaia DR3 4053759222599074048,0.2581745747971809
0.181,17411303-3032305,265.304303,-30.541815,9.143,6.505,4.332,0.019,0.024,0.016,AAA,13,Gaia DR3 4056719657597352832,0.1497780622668152
0.108,17411351-3003409,265.306301,-30.061384,13.52,11.699,10.558,0.035,0.049,0.05,AAA,14,Gaia DR3 4056952612330664064,0.1270757538204344
0.058,17454754-2610267,266.448084,-26.174089,11.393,10.893,10.619,,0.055,0.041,UAA,15,Gaia DR3 4067059872964459648,0.06224833303186746
4.238,17454775-2610299,266.448966,-26.174982,12.311,12.629,12.229,,0.107,0.07,UAA,15,Gaia DR3 4067059872964459648,4.239983441928252
0.577,17590289-2420506,269.762071,-24.347391,13.781,12.381,10.889,,0.071,0.06,UAA,16,Gaia DR3 4069024395312085888,0.6031121097071015
2.056,17590288-2420526,269.762026,-24.347958,14.104,12.045,10.658,0.06,,,AUU,16,Gaia DR3 4069024395312085888,2.04158993434636
0.184,18020412-2337419,270.517192,-23.628325,6.666,4.343,2.423,0.026,0.236,0.256,ADD,17,Gaia DR3 4069167258796371712,0.20578940539545548
0.173,17590798-2236427,269.783272,-22.611862,12.608,10.477,9.212,0.037,,,AUU,18,Gaia DR3 4069511341526393984,0.19921999972503893
3.946,17590804-2236467,269.783531,-22.612976,14.731,11.165,9.937,0.152,,,BUU,18,Gaia DR3 4069511341526393984,3.932490259237609
0.132,17594822-2214521,269.950933,-22.247822,11.396,10.29,9.474,0.023,0.027,0.025,AAA,19,Gaia DR3 4069557997737704960,0.1577992200437924
0.005,18045243-2037486,271.218461,-20.630177,8.835,7.233,5.719,0.03,0.065,0.021,AAA,20,Gaia DR3 4070884386721226240,0.029347894410446215
0.051,18092038-2018572,272.334934,-20.315897,11.923,9.225,7.719,0.027,0.023,0.023,AAA,21,Gaia DR3 4094175552005597440,0.0636459947556431
0.407,18070516-2015163,271.771524,-20.25453,14.867,12.671,11.162,0.044,0.043,0.029,AAA,22,Gaia DR3 4094936822058475136,0.4301170973472659
0.123,18075695-1923568,271.987313,-19.399134,7.118,6.716,6.223,0.018,0.027,0.024,AAA,23,Gaia DR3 4095125220807894400,0.09931704434840535
