source_id,ra,dec,Gmag,BPmag,RPmag,parallax,parallax_over_error,ruwe,tmass_id,Jmag,Hmag,Kmag,qual_tmass,wise_id,W1mag,W2mag,qual_wise
1821509378448652416,297.13415197762293,18.20100230682033,10.353326,10.40033,10.190271,0.2835610145174032,14.059109,0.9115294,19483219+1812036,9.969,9.836,9.623,AAA,J194832.19+181203.6,9.178,8.904,AAAA
1825418588978011648,293.4333540169638,19.37982880579943,13.303019,14.792027,12.107847,0.1616858655033355,12.489776,1.0937942,19334401+1922475,10.196,9.607,9.074,AAA,J193344.00+192247.4,8.248,7.586,AAAA
1980522738604744704,327.5232259982074,50.70684910242966,12.255256,12.648508,11.687359,0.1244199585009909,7.919342,1.3629425,21500557+5042247,10.723,10.313,9.602,AAA,J215005.57+504224.6,9.364,8.989,AAAB
2006109684151966720,334.10010485662474,55.62686696298145,11.388638,11.5618,11.042089,0.2147812832376318,12.386598,0.9643017,22162403+5537367,10.486,10.316,10.044,AAA,J221624.02+553736.7,9.58,9.259,AAAA
2006219978921880192,334.6899963002954,56.1260708685837,8.818601,9.065335,8.374499,0.2022434610339592,14.418169,0.99077433,22184560+5607338,7.781,7.599,7.413,AAA,J221845.60+560733.9,7.007,6.797,AAAA
2006888825592397440,339.2247839218438,56.90581642753408,8.7497225,8.986839,8.249526,0.3483052202515175,23.993258,0.9018396,22365395+5654208,7.482,7.34,7.161,AAA,J223653.95+565420.9,6.791,6.459,AAAA
2007494038022005248,336.82421762200454,56.25325737804575,10.66729,11.016404,10.126584,0.1942056039007232,15.431475,0.9451374,22271782+5615117,9.301,9.007,8.287,AAA,J222717.81+561511.6,8.014,7.644,AAAA
2012912500041834752,355.87746158072054,61.93003427538147,10.710156,11.392851,9.87553,0.1957425351430906,15.215988,1.0883696,23433059+6155484,8.638,8.201,7.811,AAA,J234330.59+615548.1,7.258,6.941,AAAA
2013906561629759232,348.8022420423532,60.45026640885793,10.346903,10.411214,9.314268,0.3227282006238041,16.098803,1.4525771,23151249+6027012,8.218,7.94,7.727,AAA,J231512.51+602701.1,7.16,7.082,AAAA
2014674226896884864,345.042165380094,60.92732849599478,10.305713,11.08597,9.399571,0.2749342402442073,21.969778,1.1674427,23001010+6055385,7.938,7.443,7.03,AAA,J230010.12+605538.4,6.526,6.062,AAAA
2022054350800575488,294.98414074982645,26.578447709532604,12.408564,12.930351,11.722542,0.0538826493892363,5.120968,0.88350195,19395620+2634424,10.703,10.397,10.09,AAA,J193956.19+263442.3,9.697,9.431,AAAC
2028294667765054464,296.56639736223417,28.27193960409475,10.023361,10.215743,9.653666,0.2138933041543954,16.037745,0.8710271,19461593+2816191,9.182,9.015,8.761,AAA,J194615.93+281619.0,8.435,8.176,AAAA
2030934212864924032,299.8024541338291,31.452480686849096,11.228698,12.333166,10.170941,-0.3939257595135974,-4.9288306,4.469851,19591258+3127090,8.454,7.866,7.446,AAA,J195912.59+312709.0,6.916,6.593,AAAA
2034096172116995712,300.4155298721039,32.571635648421584,12.116094,12.740836,11.327366,0.2179713154671673,16.935217,1.2009181,20013973+3234180,10.178,9.755,9.046,AAA,J200139.73+323417.9,8.729,8.377,AAAA
2034210349533480192,300.0796614749148,33.26417259857946,11.512269,12.2115135,10.678386,0.0761836171067438,5.5893016,0.98649234,20001912+3315511,9.516,9.148,8.855,AAA,J200019.12+331551.0,8.473,8.208,AAAA
2057966393428544128,305.43474692845734,37.375123054329705,12.216424,13.21369,11.231692,0.5961271073603426,46.446327,1.2073605,20214434+3722306,9.538,8.889,8.596,AAA,J202144.34+372230.5,7.699,7.269,AAAA
2058985262750809088,302.9730164376412,36.19734137186018,7.8930807,8.013121,7.6282215,0.4126180759260592,19.908274,1.0620645,20115352+3611505,7.232,7.113,6.663,AAA,J201153.52+361150.4,6.409,5.952,AAAA
2060661846184974464,304.25009548375414,37.42324941525781,7.930354,8.09597,7.4934735,0.4492102687197519,20.083118,0.9883466,20170002+3725238,6.965,6.796,6.581,AAA,J201700.03+372523.6,6.179,5.854,AAAA
2062560122958679936,304.28380342182226,41.12414291475246,13.792906,15.446307,12.546826,0.0892672696807511,6.7967615,1.0133911,20170811+4107270,10.152,9.265,8.649,AAA,J201708.11+410726.9,7.934,7.387,AAAA
2064136925704910080,307.0944148087011,38.621916768850944,10.795362,11.618993,9.89293,0.5277390133403429,18.402842,1.8601183,20282266+3837188,8.579,8.102,7.458,AAA,J202822.66+383718.9,6.458,6.004,AAAA
2067824545964503168,308.01256818813323,41.25567519278738,12.850557,14.315501,11.658707,0.5264996666276697,25.083055,1.3704264,20320302+4115205,9.407,8.593,7.71,AAA,J203203.02+411520.5,7.292,6.884,AAAA
2068434332539101056,306.02577183876394,41.42604464250172,13.753464,16.196041,12.292465,0.5742728523607628,16.042158,1.0847979,20240619+4125339,9.273,8.092,7.122,AAA,J202406.18+412533.7,6.505,5.921,AAAA
2069091531258827648,307.0606305532979,43.657061947348566,12.767507,14.709081,11.456853,0.5604212220443966,27.586105,1.0544622,20281455+4339257,8.769,7.861,7.191,AAA,J202814.55+433925.4,6.444,5.938,AAAA
2069445505277962624,309.5955170842449,42.46759402372271,17.616987,20.886963,16.018063,0.0351556401582678,0.3551965,1.054991,20382292+4228034,12.03,10.505,9.557,AAA,J203822.92+422803.3,8.653,8.133,AAAB
2070186369963278080,310.901983173274,44.91810023539992,10.347055,11.13466,9.450052,0.2706507852861219,17.704681,1.4300065,20433647+4455052,8.144,7.711,7.461,AAA,J204336.46+445505.3,7.053,7.009,AAAA
2163819130932894464,314.42061379414463,46.995831882547925,15.444856,16.869488,14.270018,0.0993421266852538,4.2421117,1.0355258,20574095+4659450,12.257,11.567,10.991,AAA,J205740.94+465945.0,10.278,9.878,AAAB
2165537770680635904,316.79870129068445,48.42672229826282,13.353935,14.34358,12.340921,0.1528576338872369,12.622036,1.0423251,21071169+4825361,10.615,10.057,9.609,AAA,J210711.68+482536.2,9.076,8.681,AAAA
2172742767287991296,321.83845711924994,52.53474528023911,15.2076,16.756466,13.978083,0.1259358638562479,4.9735837,1.1447989,21272123+5232051,11.742,10.945,10.019,AAA,J212721.22+523205.1,9.566,9.133,AAAA
2175877200059926784,319.94758672129973,53.37361154618956,15.767143,17.434893,14.507109,0.113887977120398,4.021397,1.072583,21194741+5322249,12.081,11.161,10.559,AAA,J211947.42+532225.0,9.756,9.31,AAAB
2182307453299864064,310.33974445641934,52.587524886955634,10.142819,10.497389,9.587643,0.102216643682105,8.951135,0.90067565,20412154+5235151,8.759,8.533,8.318,AAA,J204121.54+523515.1,8.086,7.843,AAAA
2198726735325037440,332.3893194191437,57.74180577648102,11.705532,12.274222,10.940134,0.1208584386840424,4.14071,1.956826,22093343+5744305,9.76,9.364,9.008,AAA,J220933.43+574430.5,8.553,8.219,AAAA
2203006756130126336,332.4587850436285,60.37602494763916,15.201114,15.931634,14.335341,0.0838097931010315,3.720413,0.9988402,22095010+6022337,13.145,12.719,12.46,AAA,J220950.09+602233.5,12.03,11.771,AABU
3032940844556081408,109.62136332589806,-13.21707387972392,11.175659,11.428406,10.701514,0.2096086167298388,7.8100376,1.4634669,07182912-1313015,9.97,9.674,9.271,AAA,J071829.12-131301.4,8.643,8.27,AAAA
4044123789831722240,269.8983241090292,-30.85901998085593,15.361702,16.038551,14.437047,-0.0048318130235632,-0.12910213,0.95989877,17593560-3051322,13.716,13.275,12.833,AAA,J175935.59-305132.7,11.777,11.693,AABU
4053667756967584128,264.22342888476703,-34.04355566007659,10.395141,11.033952,9.601456,0.4026851221584275,26.46339,0.8340518,17365361-3402367,8.502,8.215,8.009,AAA,J173653.61-340236.7,7.662,7.512,AAAA
