source_id,pmRA,e_pmDE,ra,parallax,radial_velocity,e_Gflux,parallax_over_error,BPflux,teff,e_radial_velocity,BPmag,logg,ruwe,RPflux,e_pmRA,Gmag,gaia_id,RPmag,feh,e_RPflux,pmDE,e_BPflux,e_parallax,Gflux,dec,Jmag,Kmag,qual_tmass,e_Kmag,e_Hmag,tmass_id,Hmag,e_Jmag,tmass_oid,e_W4mag,e_W3mag,e_W2mag,W1mag,W2mag,wise_id,e_W1mag,W4mag,qual_wise,W3mag,allwise_oid,Alias1
1821509378448652416,-0.23277798992635956,0.017697252,297.13415197762293,0.2835610145174032,,667.159,14.059109,944680.50939174,16623.746,,10.40033,3.6285,0.9115294,665349.1556315267,0.018938622,10.353326,Gaia DR3 1821509378448652416,10.190271,0.6997,801.61,-5.45484788171432,1180.0659,0.020169202,1360242.5665017485,18.20100230682033,9.969,9.623,AAA,0.02,0.027,19483219+1812036,9.836,0.022,19483219+1812036,0.096,0.024,0.02,9.178,8.904,J194832.19+181203.6,0.023,7.136,AAAA,8.155,491798422,Gaia DR3 1821509378448652416
1825418588978011648,-3.269129673575586,0.012676844,293.4333540169638,0.1616858655033355,,25.72921,12.489776,16542.68239444794,,,14.792027,,1.0937942,113767.73845764417,0.012506161,13.303019,Gaia DR3 1825418588978011648,12.107847,,45.74882,-6.404675789885515,17.015789,0.012945457,89895.80476399628,19.37982880579943,10.196,9.074,AAA,0.017,0.02,19334401+1922475,9.607,0.02,19334401+1922475,0.059,0.018,0.02,8.248,7.586,J193344.00+192247.4,0.023,5.888,AAAA,6.393,498523495,Gaia DR3 1825418588978011648
1980522738604744704,1.0090504614514288,0.015773747,327.5232259982074,0.12441995850099094,,101.46354,7.919342,119127.92545949198,,,12.648508,,1.3629425,167577.16493985776,0.016324451,12.255256,Gaia DR3 1980522738604744704,11.687359,,54.119938,-3.670778313033436,122.43792,0.015710896,235963.24089569456,50.70684910242966,10.723,9.602,AAA,0.018,0.032,21500557+5042247,10.313,0.027,21500557+5042247,0.137,0.02,0.02,9.364,8.989,J215005.57+504224.6,0.023,7.509,AAAB,8.235,658963627,Gaia DR3 1980522738604744704
2006109684151966720,-3.5563152566227196,0.01757697,334.10010485662474,0.2147812832376318,,274.45462,12.386598,324113.37850406015,15507.158,,11.5618,3.4256,0.9643017,303614.38812170865,0.019189285,11.388638,Gaia DR3 2006109684151966720,11.042089,0.2141,323.29315,-2.906469418025074,313.9396,0.017339813,524193.5193005289,55.62686696298145,10.486,10.044,AAA,0.019,0.032,22162403+5537367,10.316,0.027,22162403+5537367,0.1,0.023,0.02,9.58,9.259,J221624.02+553736.7,0.023,7.668,AAAA,8.485,679333173,Gaia DR3 2006109684151966720
2006219978921880192,-3.4720119884369525,0.015200938,334.6899963002954,0.20224346103395924,-20.83251,4901.075,14.418169,3230597.809106902,16336.323,25.659073,9.065335,2.5163,0.99077433,3542897.719580035,0.014614491,8.818601,Gaia DR3 2006219978921880192,8.374499,-0.6894,8399.331,-2.722029406286664,8233.584,0.014026986,5591218.2531835465,56.1260708685837,7.781,7.413,AAA,0.021,0.038,22184560+5607338,7.599,0.02,22184560+5607338,0.048,0.021,0.02,7.007,6.797,J221845.60+560733.9,0.048,4.178,AAAA,6.087,681284436,Gaia DR3 2006219978921880192
2006888825592397440,-3.4240477769100117,0.013259667,339.2247839218438,0.3483052202515175,,40277.46,23.993258,3472810.581248172,28659.727,,8.986839,3.4559,0.9018396,3975097.31421205,0.015092987,8.7497225,Gaia DR3 2006888825592397440,8.249526,0.0103,77773.7,-3.128195901065423,72642.57,0.014516796,5957414.921017353,56.90581642753408,7.482,7.161,AAA,0.017,0.04,22365395+5654208,7.34,0.019,22365395+5654208,0.029,0.014,0.024,6.791,6.459,J223653.95+565420.9,0.065,5.027,AAAA,5.868,684292312,Gaia DR3 2006888825592397440
2007494038022005248,-3.403080627516569,0.012534572,336.82421762200454,0.19420560390072322,,430.99857,15.431475,535617.8594137128,,,11.016404,,0.9451374,705545.015426983,0.013287289,10.66729,Gaia DR3 2007494038022005248,10.126584,,217.15031,-2.7575497857073534,521.3987,0.012585032,1018663.507360139,56.253257378045745,9.301,8.287,AAA,0.023,0.029,22271782+5615117,9.007,0.022,22271782+5615117,0.042,0.015,0.019,8.014,7.644,J222717.81+561511.6,0.023,6.161,AAAA,6.913,681780596,Gaia DR3 2007494038022005248
2012912500041834752,-2.3387333171109463,0.01263283,355.87746158072054,0.19574253514309065,,615.8953,15.215988,378683.59841564915,,,11.392851,,1.0883696,889090.6264851093,0.014193993,10.710156,Gaia DR3 2012912500041834752,9.87553,,1445.9708,-1.012531488376715,631.1544,0.0128642665,979228.6896668874,61.93003427538147,8.638,7.811,AAA,0.021,0.029,23433059+6155484,8.201,0.023,23433059+6155484,0.03,0.015,0.02,7.258,6.941,J234330.59+615548.1,0.035,5.208,AAAA,6.127,701909578,Gaia DR3 2012912500041834752
2013906561629759232,-3.388542479797453,0.020925032,348.80224204235316,0.3227282006238041,,1827.6512,16.098803,935257.4823617898,7317.4556,,10.411214,2.3374,1.4525771,1490908.4383094835,0.020556511,10.346903,Gaia DR3 2013906561629759232,9.314268,-0.88,56984.51,-2.604964631386206,38039.52,0.020046722,1368313.873999348,60.45026640885793,8.218,7.727,AAA,0.017,0.018,23151249+6027012,7.94,0.021,23151249+6027012,0.073,0.019,0.02,7.16,7.082,J231512.51+602701.1,0.036,5.581,AAAA,6.429,697022305,Gaia DR3 2013906561629759232
2014674226896884864,-2.5957158401258997,0.013480628,345.042165380094,0.2749342402442073,,1402.8739,21.969778,502376.04464444926,6196.0166,,11.08597,1.7303,1.1674427,1378255.07081501,0.013807594,10.305713,Gaia DR3 2014674226896884864,9.399571,-1.536,3165.8062,-1.7677921543283894,1705.9576,0.012514202,1421221.5400590897,60.92732849599478,7.938,7.03,AAA,0.017,0.026,23001010+6055385,7.443,0.024,23001010+6055385,0.02,0.014,0.039,6.526,6.062,J230010.12+605538.4,0.077,4.321,AAAA,5.302,698619025,Gaia DR3 2014674226896884864
