Alias1,gaia_id,source_id,ra,dec,Gmag,BPmag,RPmag,parallax,e_parallax,pmRA,e_pmRA,pmDE,e_pmDE,ruwe,teff,logg,feh,tmass_id,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,qual_tmass,wise_id,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qual_wise,has_tmass_nf,has_wise_nf,radial_velocity,parallax_over_error,Gflux,e_Gflux,BPflux,e_BPflux,RPflux,e_RPflux,e_radial_velocity,ra_2mass,dec_2mass,ra_wise,dec_wise
Gaia DR3 1825407490781545216,Gaia DR3 1825407490781545216,1825407490781545216,293.5434373108962,19.37054716669743,13.938767,15.405137,12.686972,0.2057957110980339,0.14236735,-3.87101384936046,0.14059328,-5.044858589413407,0.14982572,9.596338,10258.877,3.7424,-0.5124,19341042+1922141,10.664,10.017,9.576,0.023,0.023,0.02,AAA,J193410.52+192213.7,8.097,8.02,8.3,7.46,0.013,0.015,0.055,,AAAU,True,True,,1.445526,50054.12642664718,80.05416,9405.072123487887,22.546253,66737.46098523497,126.50915,,293.543455,19.370588,293.5438735,19.3704747
Gaia DR3 2016055591466867712,Gaia DR3 2016055591466867712,2016055591466867712,356.83491247931977,63.22061875471657,10.58428,10.941094,9.478174,0.5208113743490013,0.056596838,-2.929202496148683,0.07832808,-1.14657154704807,0.0516054,3.1220245,,,,23472043+6313122,6.096,5.76,5.53,0.027,0.029,0.018,AAA,J234720.37+631312.7,5.353,5.085,5.115,4.659,0.273,0.08,0.011,0.024,BAAA,True,True,,9.202128,1099600.2580658412,1975.2908,574088.6216567226,32467.578,1282000.988922199,71666.766,,356.835142,63.220078,356.8349112,63.2202168
Gaia DR3 2032145466709678464,Gaia DR3 2032145466709678464,2032145466709678464,297.07608656660057,30.447939579367883,12.69563,13.16496,12.029373,0.1423260586142375,0.010934587,-3.39874159654835,0.0090732835,-5.612419085995448,0.010709405,0.9190932,25661.37,3.5842,-0.8731,19481826+3026526,11.083,10.72,10.404,0.023,0.024,0.021,AAA,J194818.24+302652.5,9.778,9.458,8.601,7.792,0.022,0.02,0.026,0.194,AAAB,True,True,,13.016135,157287.72382933504,228.8236,74034.28246787243,326.42307,122295.01189789837,520.6479,,297.07612,30.44796,297.0760325,30.4479215
Gaia DR3 2057563358004716928,Gaia DR3 2057563358004716928,2057563358004716928,305.38218952061635,36.92019049365809,9.337414,9.979942,8.533436,0.5024163818123747,0.0112853795,-2.640074317933472,0.01055354,-5.455846157116452,0.013346402,1.0313152,,,,20213172+3655127,7.339,6.929,6.535,0.018,0.017,0.016,AAA,J202131.75+365512.7,5.642,5.388,4.583,3.295,0.106,0.052,0.015,0.023,AAAA,True,True,,44.51923,3467218.4623919483,3024.8328,1391361.8639998324,3532.5247,3060439.484977533,6594.0757,,305.382187,36.920219,305.3823252,36.9201967
Gaia DR3 2059076148587289728,Gaia DR3 2059076148587289728,2059076148587289728,301.488834489061,35.78834615644555,6.7464223,6.811207,6.561241,0.5380353041993117,0.022322346,-3.1752158255973515,0.022324758,-6.537098806916184,0.025065739,1.0697247,,,,20055731+3547181,6.319,6.315,6.247,0.02,0.018,0.021,AAA,J200557.29+354718.3,5.437,5.426,5.411,4.648,0.071,0.039,0.016,0.027,AAAA,True,True,,24.102991,37703163.32639953,16683.338,25759310.56345557,24922.787,18821824.25875985,22469.871,,301.488817,35.78838,301.4887432,35.7884254
Gaia DR3 2059146654767199872,Gaia DR3 2059146654767199872,2059146654767199872,302.5591092125724,36.17637099126728,7.7628326,7.9398775,7.376791,0.5247248977045798,0.017652862,-4.989650046935671,0.016952388,-8.444677496749609,0.020332469,0.9816205,,,,20101420+3610350,6.715,6.516,6.162,0.018,0.021,0.016,AAA,J201014.17+361034.7,5.671,5.113,4.363,3.404,0.144,0.08,0.015,0.024,BAAA,True,True,,29.724636,14784742.994647214,9405.585,9108898.011189178,18428.162,8880589.047588833,19530.725,,302.559206,36.176403,302.5590553,36.1763216
Gaia DR3 2060508777869902592,Gaia DR3 2060508777869902592,2060508777869902592,303.6323463367932,36.66097399792682,7.7629585,7.9479046,7.4088144,0.4898288442711307,0.017241918,-2.6808614527164263,0.017334815,-5.738605059883164,0.020019604,0.93664014,,,,20143177+3639396,6.98,6.767,6.185,0.027,0.017,0.016,AAA,J201431.81+363939.7,4.739,3.502,2.903,2.585,0.234,0.298,0.016,0.025,BBAA,True,True,,28.409187,14783023.67052674,8954.966,9041801.853446292,11907.931,8622484.71014871,20450.988,,303.632409,36.661018,303.6325617,36.6610462
Gaia DR3 2061690233159124352,Gaia DR3 2061690233159124352,2061690233159124352,303.0272130824211,38.354910367027294,7.1957364,7.3754725,6.7980294,0.5772389031203671,0.01602141,-7.901585160807841,0.015924282,-6.67873340645013,0.01697743,0.9197789,,,,20120654+3821178,6.127,5.899,5.561,0.021,0.016,0.016,AAA,J201206.52+382116.8,4.599,3.829,3.753,2.804,0.216,0.107,0.013,0.022,BAAA,True,True,,36.02922,24925981.360563293,5706.5625,15318907.418895897,14679.649,15133747.454558313,7635.994,,303.027279,38.354954,303.02718,38.3546707
Gaia DR3 2081261372633822592,Gaia DR3 2081261372633822592,2081261372633822592,305.1165394492402,43.85451579466783,6.641317,6.902983,6.1880617,0.537821526012911,0.023740439,-4.2745874812337,0.026888143,-1.8737162538334775,0.025578957,1.321136,,,,20202798+4351164,5.547,5.429,5.037,0.018,0.023,0.016,AAA,J202027.99+435116.0,3.733,1.49,1.743,1.535,0.382,,0.016,0.015,CUAA,True,True,,22.654238,41535558.5015505,16955.38,23671386.561409973,33628.01,26541991.16410581,30905.146,,305.116618,43.854561,305.1166487,43.8544652
Gaia DR3 4038875335491155328,Gaia DR3 4038875335491155328,4038875335491155328,271.9620802736875,-35.173677165790224,14.571697,14.643954,14.309642,0.1335800481902398,0.026539152,1.534388827327026,0.024797384,-7.443408454262432,0.018797524,0.93413275,24498.025,4.4766,-0.9835,18075089-3510251,13.786,13.519,13.272,0.022,0.023,0.03,AAA,J180750.90-351024.3,13.148,12.906,12.213,8.529,0.05,0.05,0.5,,AACU,True,True,,5.03332,27942.65714762162,228.94398,18959.86319889844,448.2966,14972.750240538458,333.79758,,271.962079,-35.173656,271.9621158,-35.1734214
