source_id,pmRA,e_pmDE,ra,parallax,radial_velocity,e_Gflux,parallax_over_error,BPflux,teff,e_radial_velocity,BPmag,logg,ruwe,RPflux,e_pmRA,Gmag,gaia_id,RPmag,feh,e_RPflux,pmDE,e_BPflux,e_parallax,Gflux,dec,Alias1
1825407490781545216,-3.87101384936046,0.14982572,293.5434373108962,0.20579571109803396,,80.05416,1.445526,9405.072123487887,10258.877,,15.405137,3.7424,9.596338,66737.46098523497,0.14059328,13.938767,Gaia DR3 1825407490781545216,12.686972,-0.5124,126.50915,-5.044858589413407,22.546253,0.14236735,50054.12642664718,19.37054716669743,Gaia DR3 1825407490781545216
2016055591466867712,-2.929202496148683,0.0516054,356.83491247931977,0.5208113743490013,,1975.2908,9.202128,574088.6216567226,,,10.941094,,3.1220245,1282000.988922199,0.07832808,10.58428,Gaia DR3 2016055591466867712,9.478174,,71666.766,-1.14657154704807,32467.578,0.056596838,1099600.2580658412,63.22061875471657,Gaia DR3 2016055591466867712
2032145466709678464,-3.39874159654835,0.010709405,297.07608656660057,0.14232605861423753,,228.8236,13.016135,74034.28246787243,25661.37,,13.16496,3.5842,0.9190932,122295.01189789835,0.0090732835,12.69563,Gaia DR3 2032145466709678464,12.029373,-0.8731,520.6479,-5.612419085995448,326.42307,0.010934587,157287.72382933504,30.447939579367883,Gaia DR3 2032145466709678464
2057563358004716928,-2.640074317933472,0.013346402,305.38218952061635,0.5024163818123747,,3024.8328,44.51923,1391361.8639998324,,,9.979942,,1.0313152,3060439.484977533,0.01055354,9.337414,Gaia DR3 2057563358004716928,8.533436,,6594.0757,-5.455846157116452,3532.5247,0.0112853795,3467218.4623919483,36.92019049365809,Gaia DR3 2057563358004716928
2059076148587289728,-3.1752158255973515,0.025065739,301.488834489061,0.5380353041993117,,16683.338,24.102991,25759310.56345557,,,6.811207,,1.0697247,18821824.258759852,0.022324758,6.7464223,Gaia DR3 2059076148587289728,6.561241,,22469.871,-6.537098806916184,24922.787,0.022322346,37703163.32639953,35.78834615644555,Gaia DR3 2059076148587289728
2059146654767199872,-4.989650046935671,0.020332469,302.5591092125724,0.5247248977045798,,9405.585,29.724636,9108898.011189178,,,7.9398775,,0.9816205,8880589.047588833,0.016952388,7.7628326,Gaia DR3 2059146654767199872,7.376791,,19530.725,-8.444677496749609,18428.162,0.017652862,14784742.994647214,36.176370991267284,Gaia DR3 2059146654767199872
2060508777869902592,-2.6808614527164263,0.020019604,303.6323463367932,0.48982884427113077,,8954.966,28.409187,9041801.853446292,,,7.9479046,,0.93664014,8622484.71014871,0.017334815,7.7629585,Gaia DR3 2060508777869902592,7.4088144,,20450.988,-5.738605059883164,11907.931,0.017241918,14783023.67052674,36.66097399792682,Gaia DR3 2060508777869902592
2061690233159124352,-7.901585160807841,0.01697743,303.0272130824211,0.5772389031203671,,5706.5625,36.02922,15318907.418895895,,,7.3754725,,0.9197789,15133747.454558311,0.015924282,7.1957364,Gaia DR3 2061690233159124352,6.7980294,,7635.994,-6.67873340645013,14679.649,0.01602141,24925981.360563293,38.354910367027294,Gaia DR3 2061690233159124352
2081261372633822592,-4.2745874812336995,0.025578957,305.1165394492402,0.537821526012911,,16955.38,22.654238,23671386.561409973,,,6.902983,,1.321136,26541991.16410581,0.026888143,6.641317,Gaia DR3 2081261372633822592,6.1880617,,30905.146,-1.8737162538334777,33628.01,0.023740439,41535558.5015505,43.854515794667826,Gaia DR3 2081261372633822592
4038875335491155328,1.5343888273270259,0.018797524,271.9620802736875,0.13358004819023983,,228.94398,5.03332,18959.86319889844,24498.025,,14.643954,4.4766,0.93413275,14972.750240538458,0.024797384,14.571697,Gaia DR3 4038875335491155328,14.309642,-0.9835,333.79758,-7.443408454262432,448.2966,0.026539152,27942.65714762162,-35.173677165790224,Gaia DR3 4038875335491155328
4053636485258105472,-0.47966700613762536,0.016312761,263.9017386237294,0.3947526262316361,,347.15765,21.48229,141205.9948107327,,,12.463909,,0.8665278,426779.5236636447,0.021280896,11.605036,Gaia DR3 4053636485258105472,10.672386,,757.0269,-1.1194442515602245,317.05243,0.018375725,429469.42075090745,-33.93270977574371,Gaia DR3 4053636485258105472
4053759222599074048,-0.2790377280382969,0.02069609,264.08289560455546,0.43463484695545934,,285.2183,16.156553,57911.968504114884,,,13.431622,,0.8947165,391200.8253549674,0.030146599,11.960196,Gaia DR3 4053759222599074048,10.766896,,1182.168,-1.388861772100745,199.11264,0.02690146,309648.1332340876,-33.436748357257294,Gaia DR3 4053759222599074048
4054313307684820736,,,265.24725489498184,,,2.1678827,,5.623453156403605,,,23.463535,,,490.3152897474418,,21.803503,Gaia DR3 4054313307684820736,18.021708,,15.607358,,0.18877408,,35.772211115568126,-32.18960793521099,Gaia DR3 4054313307684820736
4056719657597352832,-0.15115787688637358,0.08807866,265.3043374941739,0.017716432110467258,,92.50319,0.12897097,276.9374151127688,3685.8962,,19.232588,0.8101,1.1258383,26871.760836753194,0.15750018,15.3126335,Gaia DR3 4056719657597352832,13.674655,-0.2443,483.7055,-1.235547502566135,8.477895,0.1373676,14121.90273512846,-30.541785872897677,Gaia DR3 4056719657597352832
4056952612330664064,-2.7640464629271873,0.62825984,265.3062971815582,-2.354730692611185,,0.80605036,-2.4624286,20.734431746091577,,,22.046812,,1.1685191,360.9023601470748,0.9974116,20.111113,Gaia DR3 4056952612330664064,18.354422,,5.4117756,-6.388814226892298,4.0209394,0.9562635,170.02063771556777,-30.061419143774636,Gaia DR3 4056952612330664064
4067059872964459648,0.7622825644935786,0.014813958,266.4480892343259,0.342089115817085,,20.515738,16.42578,22997.840180510837,18586.207,,14.434324,4.2264,1.1721854,53866.69782689087,0.024009116,13.758127,Gaia DR3 4067059872964459648,12.919595,0.2979,34.985756,-0.05946770415623451,33.697197,0.020826355,59114.76174508608,-26.17410564086533,Gaia DR3 4067059872964459648
4069024395312085888,5.779999426605212,0.7060527,269.761887762643,1.4612963922926476,,1.156949,1.5152285,,,,,,1.064345,,1.1842299,20.414434,Gaia DR3 4069024395312085888,,,,-0.6445337659151715,,0.9644066,128.57978716611746,-24.347405053073334,Gaia DR3 4069024395312085888
4069167258796371712,-0.4162793884228239,0.17118354,270.51718314751105,1.5643769387129498,,6056.2295,7.8074074,23880.465785375756,,,14.3934355,,5.549032,336218.53176040243,0.25483158,12.904261,Gaia DR3 4069167258796371712,10.931341,,35806.414,-0.33941144594910444,5221.816,0.20037086,129790.41404791313,-23.62838158545535,Gaia DR3 4069167258796371712
4069511341526393984,-3.4045661695416958,0.36406705,269.7832524943234,-0.09062501881859608,,7.7110786,-0.17844006,37.639749320680394,,,21.399426,,1.2192464,894.5743040990981,0.543216,19.4668,Gaia DR3 4069511341526393984,17.368855,,77.3174,-6.981924411826442,14.984716,0.5078737,307.7704001764056,-22.61191432749127,Gaia DR3 4069511341526393984
4069557997737704960,-3.8573443751520258,0.07197576,269.9509173872219,0.05091333009630497,,10.687452,0.48633733,232.62080955984572,4343.8433,,19.42192,2.0986,1.0202706,8801.956577465678,0.10498325,16.436249,Gaia DR3 4069557997737704960,14.886448,0.2014,22.498621,-7.115323766359621,19.613092,0.10468727,5017.035079922466,-22.247863382674076,Gaia DR3 4069557997737704960
4070884386721226240,-0.5725277174520857,0.022949707,271.2184536172032,0.23951542886498056,,175.93816,7.915966,27002.758744349558,,,14.260022,,0.88720614,222284.41628355577,0.03220989,12.609886,Gaia DR3 4070884386721226240,11.380623,,582.04785,-1.5002103315503332,114.94883,0.030257257,170212.83884274447,-20.630181326532117,Gaia DR3 4070884386721226240
4094175552005597440,,,272.3349344879061,,,3.3312097,,20.70258371731428,,,22.048481,,,216.92316641898165,,21.093145,Gaia DR3 4094175552005597440,18.907131,,17.504648,,19.195698,,68.81589602810787,-20.315914673521096,Gaia DR3 4094175552005597440
4094936822058475136,0.6368364905501898,0.2861785,271.77150435452126,-0.27176093275275715,,1.2511668,-0.8178134,57.39193949071709,,,20.941416,,0.9784021,421.8123820085384,0.42556906,19.390759,Gaia DR3 4094936822058475136,18.185097,,7.9071236,-1.7473586041010716,8.237551,0.33230188,330.09858670555593,-20.254648046842387,Gaia DR3 4094936822058475136
4095125220807894400,1.0111881989007605,0.015932092,271.9873420403769,0.5240777871058655,,1805.1322,26.566357,1611634.799534581,,,9.820375,,1.001202,3416135.792874958,0.025249459,9.210921,Gaia DR3 4095125220807894400,8.414058,,4875.5825,-1.9315195069281255,1796.0712,0.019727122,3895633.7648228025,-19.39913728587429,Gaia DR3 4095125220807894400
4095672915045892992,,,273.1712502535202,,,1.693294,,23.620175775095717,,,21.905334,,,158.26541492093543,,20.911287,Gaia DR3 4095672915045892992,19.24943,,13.475762,,8.1675205,,81.36392072000277,-18.44183366191579,Gaia DR3 4095672915045892992
4095702533139975168,-0.5164826098090282,0.111469775,273.23814746814264,0.2008854862341237,,14.2072315,1.5574269,232.9582169271363,3997.7112,,19.420347,0.464,1.0823362,15707.101025228234,0.14308777,15.851981,Gaia DR3 4095702533139975168,14.257655,-1.15,53.529015,-1.9391151301112433,9.884699,0.1289855,8593.184715586534,-18.02399784542864,Gaia DR3 4095702533139975168
4095711943401184512,-0.6548533792621033,0.080037676,273.3950625767825,0.2198095746440781,,27.187996,2.4928267,466.7142104766805,3902.948,,18.665915,0.8449,1.2129705,23705.675903567073,0.11183654,15.373593,Gaia DR3 4095711943401184512,13.810764,-0.5194,53.837852,-1.983106474150412,17.782125,0.08817684,13350.860213728269,-18.094874486422665,Gaia DR3 4095711943401184512
4095728440383641344,-0.7754942797286356,0.054469816,273.34371417091336,0.28089028629817114,,29.171186,4.797686,763.2188905341366,4573.089,,18.13192,1.8886,1.0830175,27325.99797833856,0.0705838,15.163286,Gaia DR3 4095728440383641344,13.656455,-0.4774,162.60818,-2.079855822145339,12.943131,0.058547035,16204.369768768232,-17.897317140186814,Gaia DR3 4095728440383641344
4097438485888595584,1.4595226394802265,0.28022808,273.5587909464745,0.42413266593996,,1.3464749,1.1173484,79.04458215394571,,,20.593863,,1.0304356,371.3233171482552,0.38993844,19.447847,Gaia DR3 4097438485888595584,18.323515,,6.91197,-3.5179994468545304,9.150608,0.37958854,313.19018915096194,-17.350789769086436,Gaia DR3 4097438485888595584
4152380330315696640,0.11495049636468926,0.024274299,275.81809520553867,0.5077685608153724,,185.5138,20.05825,175926.924026837,,,12.225211,,1.1418451,493426.88062875165,0.031330507,11.424642,Gaia DR3 4152380330315696640,10.514838,,279.15668,-1.9962259697697708,156.07072,0.025314698,507095.83447334793,-13.723926253988907,Gaia DR3 4152380330315696640
4152553773976467712,,,275.74601476509815,,,1.4574406,,15.70086014428643,,,22.348734,,,186.29826595815484,,20.851435,Gaia DR3 4152553773976467712,19.072374,,15.386965,,0.7672344,,85.97510688706436,-13.208719832070154,Gaia DR3 4152553773976467712
4152574080574698752,-0.1811503722149033,0.015097858,276.5254971974058,0.3336338053711135,,249.5799,20.801296,13988.949324700405,,,14.974079,,1.0256708,122923.22550973683,0.02057111,13.273623,Gaia DR3 4152574080574698752,12.02381,,997.69525,-1.674707801250573,122.428986,0.016039087,92362.85699464308,-13.06959860783141,Gaia DR3 4152574080574698752
