_r,AllWISE,RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,query_idx,gaia_id,sep_arcsec
1.487,J193410.52+192213.7,293.5438735,19.3704747,8.097,8.02,8.3,7.46,0.013,0.015,0.055,,AAAU,0,Gaia DR3 1825407490781545216,1.5041883672811562
1.457,J234720.37+631312.7,356.8349112,63.2202168,5.353,5.085,5.115,4.659,0.273,0.08,0.011,0.024,BAAA,1,Gaia DR3 2016055591466867712,1.4470384674448482
0.207,J194818.24+302652.5,297.0760325,30.4479215,9.778,9.458,8.601,7.792,0.022,0.02,0.026,0.194,AAAB,2,Gaia DR3 2032145466709678464,0.17997773549741636
0.37,J202131.75+365512.7,305.3823252,36.9201967,5.642,5.388,4.583,3.295,0.106,0.052,0.015,0.023,AAAA,3,Gaia DR3 2057563358004716928,0.3911378733012685
0.389,J200557.29+354718.3,301.4887432,35.7884254,5.437,5.426,5.411,4.648,0.071,0.039,0.016,0.027,AAAA,4,Gaia DR3 2059076148587289728,0.3904506810458289
0.267,J201014.17+361034.7,302.5590553,36.1763216,5.671,5.113,4.363,3.404,0.144,0.08,0.015,0.024,BAAA,5,Gaia DR3 2059146654767199872,0.23698153792251403
0.647,J201431.81+363939.7,303.6325617,36.6610462,4.739,3.502,2.903,2.585,0.234,0.298,0.016,0.025,BBAA,6,Gaia DR3 2060508777869902592,0.6740689860864872
0.892,J201206.52+382116.8,303.02718,38.3546707,4.599,3.829,3.753,2.804,0.216,0.107,0.013,0.022,BAAA,7,Gaia DR3 2061690233159124352,0.8678412619358923
0.334,J202027.99+435116.0,305.1166487,43.8544652,3.733,1.49,1.743,1.535,0.382,,0.016,0.015,CUAA,8,Gaia DR3 2081261372633822592,0.3370617358564998
0.904,J180750.90-351024.3,271.9621158,-35.1734214,13.148,12.906,12.213,8.529,0.05,0.05,0.5,,AACU,9,Gaia DR3 4038875335491155328,0.9266727097714899
0.754,J173536.46-335558.1,263.9019526,-33.9328262,8.209,7.89,7.048,4.602,0.024,0.022,0.025,0.04,AAAA,10,Gaia DR3 4053636485258105472,0.764295850399431
0.288,J173619.87-332612.0,264.0828332,-33.4366892,3.673,1.712,2.452,2.402,0.291,0.125,0.024,0.022,BBAA,11,Gaia DR3 4053759222599074048,0.2837275185083987
0.087,J174059.34-321122.5,265.2472855,-32.1895878,11.074,10.808,4.886,0.84,0.077,0.064,0.016,0.011,AAAA,12,Gaia DR3 4054313307684820736,0.11810380894276827
1.24,J174113.07-303231.5,265.3044602,-30.5421105,0.44,-1.371,-0.419,-0.759,,,0.319,0.012,UUBA,13,Gaia DR3 4056719657597352832,1.2290259300882411
1.007,J174113.55-300340.2,265.3064862,-30.061182,9.395,8.848,9.326,8.476,0.041,0.034,0.364,,AACU,14,Gaia DR3 4056952612330664064,1.03715009028892
2.64,J174547.35-261025.8,266.4473298,-26.1738478,9.102,8.945,8.43,5.401,0.025,0.024,0.243,0.039,AABA,15,Gaia DR3 4067059872964459648,2.6233290157878764
0.845,J180204.17-233741.6,270.517405,-23.6282478,-2.171,-1.885,-2.424,-2.786,,,,0.009,UUUA,17,Gaia DR3 4069167258796371712,0.8759955299308037
0.288,J175948.22-221452.5,269.9509511,-22.2479339,8.639,8.207,7.259,3.591,0.023,0.021,0.034,0.035,AAAA,19,Gaia DR3 4069557997737704960,0.27760461292093735
0.358,J180452.43-203748.2,271.2184913,-20.6300804,4.036,3.045,2.674,2.528,0.182,0.337,0.017,0.021,BBAA,20,Gaia DR3 4070884386721226240,0.3848782429598602
2.281,J180920.40-201855.0,272.3350106,-20.3152787,7.173,6.101,2.01,1.643,0.037,0.026,,,AAUZ,21,Gaia DR3 4094175552005597440,2.30387924786781
0.443,J180705.16-201516.2,271.7715129,-20.2545193,10.052,9.476,8.919,5.208,0.036,0.031,0.182,0.083,AABA,22,Gaia DR3 4094936822058475136,0.46438636215270407
0.263,J180756.95-192356.6,271.9872947,-19.3990796,5.33,4.999,4.317,3.348,0.097,0.074,0.016,0.036,AAAA,23,Gaia DR3 4095125220807894400,0.2626157224235917
1.097,J181241.11-182629.4,273.1713117,-18.4415276,10.24,9.663,7.319,2.064,0.033,0.037,0.039,0.032,AAAA,24,Gaia DR3 4095672915045892992,1.1216281288334147
1.626,J181257.05-180125.7,273.2377161,-18.0238182,6.783,6.761,6.326,5.5,0.045,0.02,0.033,0.136,AAAB,25,Gaia DR3 4095702533139975168,1.6121263707124431
0.471,J181322.46-175350.6,273.3436131,-17.8973924,7.795,7.391,6.833,4.202,0.027,0.022,0.1,0.093,AAAA,27,Gaia DR3 4095728440383641344,0.4396515706517078
0.608,J181414.06-172102.8,273.558621,-17.3507872,10.221,9.363,8.365,6.873,0.033,0.027,0.244,0.145,AABB,28,Gaia DR3 4097438485888595584,0.5840413668485804
3.667,J182316.16-134323.5,275.8173387,-13.723222,5.508,7.461,3.274,3.317,0.141,0.06,0.055,0.085,BAAA,29,Gaia DR3 4152380330315696640,3.6643405970520404
0.699,J182259.02-131230.7,275.7459203,-13.2085467,10.653,10.461,9.946,8.001,0.046,0.048,0.309,0.378,AABC,30,Gaia DR3 4152553773976467712,0.7057510947950996
1.793,J182606.06-130408.9,276.5252552,-13.0691576,7.346,7.053,6.787,7.167,0.022,0.017,0.028,,AAAU,31,Gaia DR3 4152574080574698752,1.8002017310706822
0.581,J182102.89-122745.8,275.2620496,-12.4627303,9.928,9.632,9.126,8.197,0.025,0.022,0.065,,AAAU,32,Gaia DR3 4152844491726272640,0.5522615146239188
0.334,J182704.29-122252.3,276.7679135,-12.3812096,6.11,5.519,5.051,2.231,0.062,0.039,0.032,0.023,AAAA,33,Gaia DR3 4153009457139196032,0.360179237378746
1.306,J182446.26-115428.8,276.1927696,-11.9080114,10.229,10.06,9.424,7.145,0.033,0.033,,,AAUU,34,Gaia DR3 4153250864340865408,1.2835498545442825
0.575,J181907.39-113758.8,274.7808177,-11.6330136,4.43,3.748,3.8,3.523,0.214,0.154,0.017,0.041,BBAA,36,Gaia DR3 4153716198275554176,0.6057473833448802
0.618,J182500.27-103324.0,276.2511305,-10.5566746,9.684,9.312,8.295,6.951,0.026,0.023,0.063,0.163,AAAB,37,Gaia DR3 4154273822474507136,0.6278797632198695
0.225,J183116.51-100925.0,277.8188008,-10.1569494,6.82,6.648,5.992,4.487,0.09,0.038,0.02,0.043,AAAA,38,Gaia DR3 4155087293585479552,0.2043254865560792
0.774,J183827.16-071044.9,279.6131707,-7.1791635,9.628,9.065,8.518,6.539,0.03,0.026,0.41,,AACU,40,Gaia DR3 4252854660635487360,0.7569918866341124
1.083,J183617.22-070506.4,279.0717722,-7.0851176,4.833,4.435,5.42,4.091,0.08,0.022,0.03,,AAAU,41,Gaia DR3 4252915412949854208,1.0794397703379832
0.363,J184615.07-054221.3,281.5628006,-5.7059319,10.281,9.966,8.845,7.003,0.026,0.026,0.043,0.165,AAAB,42,Gaia DR3 4253520659831494784,0.367382147680524
0.293,J190359.00-041901.8,285.9958574,-4.3171918,8.402,7.995,7.213,6.304,0.022,0.02,0.021,0.064,AAAA,43,Gaia DR3 4254678995275751808,0.278358316435952
0.463,J184413.18-034757.7,281.0549346,-3.7993818,4.422,3.33,3.199,2.94,0.193,0.174,0.021,0.026,BBAA,44,Gaia DR3 4258284534415364224,0.48793232926928876
0.239,J184206.29-034822.5,280.5262233,-3.8062687,8.261,7.614,7.1,7.826,0.024,0.021,0.053,0.293,AAAB,45,Gaia DR3 4258462655287419776,0.21269672963123024
1.756,J184246.89-031315.5,280.695408,-3.2209996,11.581,11.05,5.472,2.604,0.063,0.053,0.021,0.038,AAAA,46,Gaia DR3 4258557110213184896,1.7719118415063309
0.584,J184317.20-030856.9,280.8216776,-3.1491663,9.57,9.503,10.478,6.648,0.027,0.03,,,AAUU,47,Gaia DR3 4258650877925467264,0.5526329938747995
0.34,J184517.36-024812.8,281.3223633,-2.803582,4.933,4.0,3.945,3.673,0.439,0.275,0.018,0.041,CBAA,48,Gaia DR3 4258685375104408960,0.33600975911281744
0.363,J184420.66-023650.9,281.0861195,-2.6141395,9.94,9.605,8.375,5.528,0.029,0.028,0.354,,AABU,49,Gaia DR3 4258706295872782592,0.3922095917144195
0.268,J184927.34-010420.4,282.3639221,-1.0723479,8.812,8.498,8.333,7.572,0.024,0.024,0.09,,AAAU,50,Gaia DR3 4260047188967522304,0.2925106544180153
2.757,J184600.87-011432.6,281.503638,-1.2424098,9.029,8.719,9.895,7.817,0.016,0.018,0.297,,AABU,51,Gaia DR3 4260073263704313728,2.7625385685859514
0.269,J184322.19-010337.0,280.8424712,-1.0603041,9.472,9.111,8.401,7.885,0.025,0.021,0.037,0.244,AAAB,52,Gaia DR3 4260190366014987904,0.2996643416856077
0.281,J185243.69+000841.9,283.1820495,0.1449784,8.708,8.153,7.699,6.836,0.024,0.021,0.058,0.469,AAAC,53,Gaia DR3 4266263411103249920,0.3040985873181393
2.224,J190127.14+035155.6,285.3630954,3.8654601,8.982,8.314,8.334,7.477,0.017,0.016,0.05,0.346,AAAB,54,Gaia DR3 4281254668018228096,2.249161461436843
4.893,J190127.18+035148.6,285.3632823,3.8635248,8.9,8.611,8.859,7.555,0.015,0.018,0.056,0.452,AAAC,54,Gaia DR3 4281254668018228096,4.876646590334084
0.322,J190242.37+065444.8,285.6765507,6.9124563,10.586,10.682,9.599,7.269,0.028,0.032,0.144,0.289,AABB,55,Gaia DR3 4306688266055108480,0.34738652781308366
0.524,J191006.36+094525.6,287.5265319,9.7571132,11.751,11.4,10.417,7.929,0.031,0.029,,,AAUU,56,Gaia DR3 4309211331708602240,0.5114988874968078
0.225,J191831.34+134339.0,289.6305885,13.7275048,8.807,8.222,7.605,6.571,0.021,0.019,0.033,0.132,AAAB,57,Gaia DR3 4319406076548902784,0.19385517429273358
0.828,J192253.59+140850.6,290.7233262,14.1474092,8.508,7.865,2.293,-0.155,0.024,0.022,0.042,0.037,AAAA,60,Gaia DR3 4319620373924501120,0.8464188867619202
0.169,J192518.13+170215.6,291.3255421,17.0376801,8.535,7.868,7.576,6.568,0.025,0.021,0.023,0.089,AAAA,61,Gaia DR3 4322565798082824832,0.17235358322153807
