,WR#,Alias1,Right Ascension J2000,Declination J2000
0,1,Gaia DR3 524101256981955200,00 43 28.39,+64 45 35.4
1,2,Gaia DR3 426378793809476096,01 05 23.03,+60 25 18.9
2,3,Gaia DR3 508955656105078912,01 38 55.62,+58 09 22.6
3,3-1,Gaia DR3 512856654641310976,01 40 32.96,+63 42 22.9
4,4,Gaia DR3 454818035714964992,02 41 11.67,+56 43 49.8
5,5,Gaia DR3 460606178458202496,02 52 11.66,+56 56 07.1
6,6,Gaia DR3 2922367976673391232,06 54 13.04,-23 55 42.0
7,7,Gaia DR3 3032940844556081408,07 18 29.13,-13 13 01.5
8,7a,Gaia DR3 5617746515133032448,07 20 22.36,-23 43 56.5
9,8,Gaia DR3 5595121310305893760,07 44 58.22,-31 54 29.5
10,9,Gaia DR3 5588584477463342592,07 45 50.40,-34 19 48.5
11,10,Gaia DR3 5597770416085979648,07 59 46.24,-28 44 03.0
13,12,Gaia DR3 5329864237502044160,08 44 47.29,-45 58 55.4
14,13,Gaia DR3 5331491785272445952,08 49 52.95,-45 10 24.0
15,14,Gaia DR3 5328783280128054784,08 54 59.16,-47 35 32.6
16,15,Gaia DR3 5325632526471160832,09 13 11.76,-50 06 25.5
17,15-1,Gaia DR3 5307761476805186816,09 49 01.52,-55 28 33.0
18,16,Gaia DR3 5259375577836135168,09 54 52.89,-57 43 38.2
19,17,Gaia DR3 5256443042906853504,10 10 31.90,-60 38 42.4
20,17-1,Gaia DR3 5258739853951492352,10 16 26.21,-57 28 05.7
21,18,Gaia DR3 5258583929469166720,10 17 02.26,-57 54 46.8
22,19,Gaia DR3 5258557987863082624,10 18 04.98,-58 16 26.2
23,19a,Gaia DR3 5258563412384119168,10 18 53.38,-58 07 52.9
24,20,Gaia DR3 5255494370519800832,10 19 18.39,-59 09 38.8
25,20-2,Gaia DR3 5255667681036173568,10 23 23.48,-58 00 20.8
26,20-1,Gaia DR3 5255679638225357952,10 23 28.79,-57 46 29.4
27,20a,Gaia DR3 5255678160756667776,10 23 58.00,-57 45 48.9
28,20b,Gaia DR3 5255677056923564544,10 24 18.39,-57 48 29.7
29,20-3,Gaia DR3 5351766715283439104,10 25 02.60,-57 21 47.3
