,matching_ident,identifier,ra_hms,dec_dms
0,WR 17-1,Gaia DR3 5258739853951492352,10 16 26.2188695184,-57 28 05.775794220
1,WR 20-1,Gaia DR3 5255679638225357952,10 23 28.8004020960,-57 46 29.459982540
2,WR 20-3,Gaia DR3 5351766715283439104,10 25 02.6119040592,-57 21 47.351428776
3,WR 31-1,Gaia DR3 5337974815066189184,10 59 00.8003118288,-61 08 50.210535516
4,WR 42-1,Gaia DR3 5337420974779493248,11 14 45.5134690272,-61 15 00.297434808
6,WR 43-2,Gaia DR3 5337417985482248576,11 15 07.5831241008,-61 16 54.766684416
7,WR 43-3,Gaia DR3 5337456262235600512,11 15 15.3697073736,-60 51 17.747404596
8,WR 44-1,Gaia DR3 5337356550268311168,11 19 43.0260269976,-61 27 12.305862072
10,WR 45-2,Gaia DR3 5333281038625611392,11 46 06.6557719248,-62 47 12.692912064
11,WR 45-3,Gaia DR3 5333291106030306688,11 50 04.2429210504,-62 52 15.432089340
12,WR 45-4,Gaia DR3 5334571281177102080,11 55 52.1112690000,-62 45 02.317759092
14,WR 46-1,Gaia DR3 6057398432929770752,12 06 56.4840560328,-62 38 30.399990000
15,WR 46-2,Gaia DR3 6054397075394503040,12 13 38.7939644952,-63 08 58.063794108
18,WR 46-5,Gaia DR3 6054402164972282240,12 14 33.0922015680,-62 58 51.048985836
19,WR 46-6,Gaia DR3 6054402160643310208,12 14 33.9149209824,-62 58 48.709934582
20,WR 46-7,Gaia DR3 6054478581036542720,12 10 07.9617168384,-62 44 19.426747272
22,WR 46-9,Gaia DR3 6054469643164086016,12 12 16.8121964784,-62 46 14.560738860
24,WR 46-11,Gaia DR3 6053731497237581568,12 28 41.9135827224,-63 25 46.107673896
25,WR 46-12,Gaia DR3 6053747229666708864,12 28 50.9895788232,-63 17 00.121532496
26,WR 46-13,Gaia DR3 6053899825584290432,12 30 03.8693613552,-62 50 17.139850512
27,WR 46-14,Gaia DR3 6053591923647688064,12 38 18.7648691664,-63 24 19.652765184
30,WR 46-17,Gaia DR3 6054470094180542336,12 12 41.1334910946,-62 42 30.673738397
31,WR 47-1,Gaia DR3 5862973720242127744,12 46 16.1445029232,-62 57 23.485729716
32,WR 47-2,Gaia DR3 5862754470762223488,12 55 44.2500012504,-63 35 50.057226924
33,WR 47-3,Gaia DR3 5862310195003201152,13 03 11.0674770152,-63 42 16.347826707
34,WR 48-1,Gaia DR3 5862512097153573120,13 10 12.0788309808,-62 39 06.592257648
35,WR 48-2,Gaia DR3 5862525634891347968,13 12 57.7079569104,-62 40 59.889237852
36,WR 48-3,Gaia DR3 5862503163620954752,13 12 21.3224527736,-62 40 12.387259416
