 #  | matching ident  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  Mag J  |  Mag H  |  Mag K  |  Mag g  |    spec. type     |#bib|#not
1   |WR 17-1          |Gaia DR3 5258739853951492352       |WR*|10 16 26.2188695184 -57 28 05.775794220|     ~   |     ~   |     ~   |17.46    |     ~   |11.733   |10.380   |9.526    |     ~   |WN5b               |   3|   0
2   |WR 20-1          |Gaia DR3 5255679638225357952       |WR*|10 23 28.8004020960 -57 46 29.459982540|     ~   |     ~   |     ~   |     ~   |     ~   |10.60    |9.197    |8.339    |     ~   |WN7-8              |   3|   0
3   |WR 20-3          |Gaia DR3 5351766715283439104       |WR*|10 25 02.6119040592 -57 21 47.351428776|     ~   |20.10    |17.51    |16.89    |13.35    |10.505   |9.571    |9.035    |     ~   |O2If*/WN6          |  16|   0
4   |WR 31-1          |Gaia DR3 5337974815066189184       |WR*|10 59 00.8003118288 -61 08 50.210535516|     ~   |13.57    |12.35    |12.22    |     ~   |9.473    |8.969    |8.645    |     ~   |O3.5If*/WN7        |   8|   0
5   |WR 42-1          |Gaia DR3 5337420974779493248       |WR*|11 14 45.5134690272 -61 15 00.297434808|     ~   |16.048   |14.529   |     ~   |     ~   |10.177   |9.466    |9.037    |     ~   |O2If*-WN6          |  15|   0
6   |WR 43-1          |WR 43-1                            |WR*|11 16 03.536 -61 26 58.34              |     ~   |16.76    |16.82    |15.97    |     ~   |13.16    |11.566   |10.469   |     ~   |WN4b               |   2|   0
7   |WR 43-2          |Gaia DR3 5337417985482248576       |WR*|11 15 07.5831241008 -61 16 54.766684416|     ~   |16.140   |14.762   |     ~   |12.39    |10.467   |9.682    |9.237    |     ~   |O2If*/WN6          |  17|   0
8   |WR 43-3          |Gaia DR3 5337456262235600512       |WR*|11 15 15.3697073736 -60 51 17.747404596|     ~   |14.17    |12.89    |     ~   |     ~   |9.853    |9.392    |9.121    |     ~   |O2.5If/WN6         |   7|   0
9   |WR 44-1          |Gaia DR3 5337356550268311168       |WR*|11 19 43.0260269976 -61 27 12.305862072|     ~   |13.67    |12.35    |13.03    |     ~   |11.500   |10.987   |10.326   |     ~   |WCE                |   4|   0
10  |WR 45-1          |WR 45-1                            |WR*|11 42 37.66 -62 41 19.3                |     ~   |     ~   |     ~   |     ~   |     ~   |11.496   |10.540   |9.813    |     ~   |WN9-10h            |   2|   0
11  |WR 45-2          |Gaia DR3 5333281038625611392       |WR*|11 46 06.6557719248 -62 47 12.692912064|     ~   |15.56    |17.17    |14.11    |     ~   |12.15    |11.36    |10.78    |     ~   |WN5                |   2|   0
12  |WR 45-3          |Gaia DR3 5333291106030306688       |WR*|11 50 04.2429210504 -62 52 15.432089340|     ~   |18.23    |     ~   |16.47    |     ~   |12.57    |11.57    |10.940   |     ~   |WN6                |   2|   0
13  |WR 45-4          |Gaia DR3 5334571281177102080       |WR*|11 55 52.1112690000 -62 45 02.317759092|     ~   |18.38    |     ~   |14.94    |     ~   |11.647   |10.761   |10.136   |     ~   |WN6                |   3|   0
14  |WR 45-5          |WR 45-5                            |WR*|11 56 03.78 -63 18 54.4                |     ~   |     ~   |     ~   |     ~   |     ~   |10.55    |9.93     |9.65     |     ~   |WN7/Of             |   3|   0
15  |WR 46-1          |Gaia DR3 6057398432929770752       |WR*|12 06 56.4840560328 -62 38 30.399990000|     ~   |     ~   |     ~   |     ~   |     ~   |11.547   |10.818   |10.222   |     ~   |WN6o               |   3|   0
16  |WR 46-2          |Gaia DR3 6054397075394503040       |WR*|12 13 38.7939644952 -63 08 58.063794108|     ~   |     ~   |     ~   |     ~   |     ~   |10.560   |9.644    |9.032    |     ~   |WN7h               |   3|   0
17  |WR 46-3          |WR 46-3                            |WR*|12 14 31.54 -62 58 54.3                |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |9.06     |8.54     |     ~   |O6-7.5If+          |   4|   0
18  |WR 46-4          |WR 46-4                            |WR*|12 14 31.73 -62 58 52.1                |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |9.56     |9.02     |     ~   |Ofpe/WN9           |   4|   0
19  |WR 46-5          |Gaia DR3 6054402164972282240       |WR*|12 14 33.0922015680 -62 58 51.048985836|     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |10.25    |9.67     |     ~   |WN6                |   4|   0
20  |WR 46-6          |Gaia DR3 6054402160643310208       |WR*|12 14 33.9149209824 -62 58 48.709934582|     ~   |     ~   |     ~   |     ~   |     ~   |11.663   |10.383   |9.617    |     ~   |WN7                |   5|   0
21  |WR 46-7          |Gaia DR3 6054478581036542720       |WR*|12 10 07.9617168384 -62 44 19.426747272|     ~   |     ~   |     ~   |     ~   |     ~   |12.753   |11.082   |9.741    |     ~   |WC5-7              |   5|   0
22  |WR 46-8          |WR 46-8                            |WR*|12 11 02.57 -62 57 47.6                |     ~   |     ~   |     ~   |     ~   |     ~   |12.017   |10.702   |9.845    |     ~   |WN6                |   3|   0
23  |WR 46-9          |Gaia DR3 6054469643164086016       |WR*|12 12 16.8121964784 -62 46 14.560738860|     ~   |     ~   |     ~   |     ~   |     ~   |12.067   |10.72    |9.880    |     ~   |WN4-6              |   4|   0
24  |WR 46-10         |WR 46-10                           |WR*|12 13 28.294 -62 41 42.98              |     ~   |     ~   |     ~   |     ~   |     ~   |14.05    |12.67    |11.533   |     ~   |WCE                |   5|   0
25  |WR 46-11         |Gaia DR3 6053731497237581568       |WR*|12 28 41.9135827224 -63 25 46.107673896|     ~   |20.28    |     ~   |17.82    |     ~   |12.779   |11.831   |10.942   |     ~   |WCE                |   3|   0
26  |WR 46-12         |Gaia DR3 6053747229666708864       |WR*|12 28 50.9895788232 -63 17 00.121532496|     ~   |     ~   |     ~   |18.61    |     ~   |13.561   |12.552   |11.837   |     ~   |WN5                |   4|   0
27  |WR 46-13         |Gaia DR3 6053899825584290432       |WR*|12 30 03.8693613552 -62 50 17.139850512|     ~   |     ~   |     ~   |19.20    |     ~   |13.159   |12.049   |11.087   |     ~   |WC7                |   4|   0
28  |WR 46-14         |Gaia DR3 6053591923647688064       |WR*|12 38 18.7648691664 -63 24 19.652765184|     ~   |     ~   |     ~   |18.43    |     ~   |12.928   |11.758   |10.964   |     ~   |WN5b               |   4|   0
29  |WR 46-15         |[MVM2011b] MDM2                    |WR*|12 15 12.49200 -62 46 43.8888          |     ~   |     ~   |     ~   |     ~   |     ~   |13.126   |11.032   |9.839    |     ~   |WN8                |   3|   0
30  |WR 46-16         |WR 46-16                           |WR*|12 11 54.075 -63 17 03.75              |     ~   |     ~   |     ~   |     ~   |     ~   |13.438   |12.050   |11.536   |     ~   |WN9                |   4|   0
31  |WR 46-17         |Gaia DR3 6054470094180542336       |WR*|12 12 41.1334910946 -62 42 30.673738397|     ~   |     ~   |     ~   |     ~   |     ~   |11.72    |10.60    |10.05    |     ~   |WN9/OIf+           |   4|   0
32  |WR 47-1          |Gaia DR3 5862973720242127744       |WR*|12 46 16.1445029232 -62 57 23.485729716|     ~   |     ~   |     ~   |     ~   |     ~   |12.184   |11.216   |10.555   |     ~   |WN6o               |   5|   0
33  |WR 47-2          |Gaia DR3 5862754470762223488       |WR*|12 55 44.2500012504 -63 35 50.057226924|     ~   |     ~   |     ~   |     ~   |     ~   |12.48    |11.120   |10.220   |     ~   |WC5-6              |   4|   0
34  |WR 47-3          |Gaia DR3 5862310195003201152       |WR*|13 03 11.0674770152 -63 42 16.347826707|     ~   |     ~   |     ~   |18.72    |     ~   |13.13    |11.92    |11.049   |     ~   |WC5-6              |   4|   0
35  |WR 48-1          |Gaia DR3 5862512097153573120       |WR*|13 10 12.0788309808 -62 39 06.592257648|     ~   |     ~   |     ~   |     ~   |     ~   |11.055   |10.091   |9.315    |     ~   |WC5                |   4|   0
36  |WR 48-2          |Gaia DR3 5862525634891347968       |WR*|13 12 57.7079569104 -62 40 59.889237852|     ~   |     ~   |17.25    |     ~   |     ~   |10.825   |9.830    |8.981    |     ~   |WC7-8              |  11|   0
37  |WR 48-3          |Gaia DR3 5862503163620954752       |WR*|13 12 21.3224527736 -62 40 12.387259416|     ~   |     ~   |     ~   |16.24    |     ~   |10.752   |9.571    |8.773    |     ~   |WC8                |   9|   0
38  |WR 48-4          |Gaia DR3 5862501613104119424       |WR*|13 12 27.6647992104 -62 44 22.020615888|     ~   |     ~   |     ~   |17.95    |     ~   |13.159   |11.824   |10.708   |     ~   |WC7                |   7|   0
39  |WR 48-5          |Gaia DR3 5862430969485396224       |WR*|13 12 45.3447514608 -63 05 51.998871768|     ~   |     ~   |     ~   |     ~   |     ~   |13.057   |11.336   |10.260   |     ~   |WN6                |   4|   0
40  |WR 48-6          |Gaia DR3 5862501922341768704       |WR*|13 12 09.0613442832 -62 43 26.718131640|     ~   |     ~   |     ~   |     ~   |     ~   |10.208   |8.57     |7.58     |     ~   |WN8-9              |   8|   0
41  |WR 48-7          |Gaia DR3 5862501617432628608       |WR*|13 12 25.4738527416 -62 44 41.785922724|     ~   |     ~   |     ~   |     ~   |     ~   |9.809    |8.48     |7.649    |     ~   |WN9                |   8|   0
42  |WR 48-8          |Gaia DR3 5862502338987197312       |WR*|13 12 28.5107713440 -62 41 50.972145792|     ~   |     ~   |16.21    |     ~   |     ~   |9.810    |8.83     |8.15     |     ~   |WNLh               |   8|   0
43  |WR 48-9          |Gaia DR3 5862502338987201408       |WR*|13 12 28.5638209632 -62 41 43.769380128|     ~   |     ~   |14.96    |     ~   |     ~   |8.255    |7.27     |6.610    |     ~   |WNLh               |  13|   0
44  |WR 48-10         |Gaia DR3 5862502338987191552       |WR*|13 12 24.9913507440 -62 42 00.201886956|     ~   |     ~   |17.40    |     ~   |     ~   |9.422    |8.15     |7.48     |     ~   |WNLh               |  10|   0
45  |WR 48-11         |WR 48-11                           |WR*|13 11 35.60088 -62 45 32.4360          |     ~   |     ~   |     ~   |     ~   |     ~   |15.981   |14.006   |12.636   |     ~   |WN9h               |   6|   0
46  |WR 48-12         |Gaia DR3 5862452856639687552       |WR*|13 11 36.7377695832 -62 49 59.582848620|     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |13.489   |11.410   |     ~   |WN9h               |   4|   0
